area,coordinate center x,coordinate center y
810.2239939255884,323.51746393318143,439.0
989.5561959654178,1057.9100224143451,520.5
1023.3679745493107,598.7281724991162,471.5
1126.3861714975844,489.7252415458937,552.0
568.0148874364561,1078.1397966594045,459.0
225.22348916761686,617.5883694412771,438.5
229.49564676616916,262.40485074626866,536.0
594.0684039087948,1144.003981179877,460.5
265.55336787564767,209.62970639032815,482.5
1016.7255671902269,436.49760034904017,764.0
440.19812002892263,1060.207881417209,461.0
1125.829746835443,1083.909282700422,790.0
1203.3520352035205,399.6820682068207,151.5
578.188244047619,295.4252232142857,448.0
1089.7763253449527,877.0624546114742,229.5
509.8607198748044,930.4530516431925,213.0
927.9163940385315,514.2290076335878,458.5
815.5326651818857,1075.105419450631,449.0
1227.7824161922833,730.551549652119,527.0
157.15823466092573,701.2791532113384,464.5
1214.6773211567731,970.6407914764079,219.0
576.7699214365881,822.7042648709315,297.0
1238.642857142857,382.0212355212355,259.0
522.2589595375723,53.66396917148362,865.0
757.7750410509032,578.6371100164204,304.5
1063.69988445985,320.22559214326975,577.0
200.06174161313348,141.34689507494647,467.0
444.2390243902439,241.66178861788617,307.5
1157.1426282051282,784.3397435897435,104.0
406.8292580982236,255.13793103448276,797.5
760.7963875205254,400.4444444444444,304.5
678.0427942101951,1187.5267463813718,794.5
279.2954755309326,418.26592797783934,541.5
1031.770846870262,931.6346112194066,769.5
1235.2599580712788,484.95842068483574,477.0
771.4099616858238,373.71682340647857,478.5
463.3976034858388,54.12309368191722,153.0
37.422764227642276,736.6460287679799,266.5
1046.335991820041,1187.5775051124745,815.0
691.3202911737943,881.5978161965423,549.5
726.1902106567534,981.0430607187112,538.0
696.7395143487859,589.0022075055188,226.5
280.74908424908426,333.447496947497,273.0
115.32680348258707,769.9856965174129,536.0
496.0843060959793,66.74708171206225,128.5
603.947232947233,833.5057915057915,129.5
733.3672131147541,937.6262295081967,152.5
654.728660436137,556.9426791277258,535.0
705.0548712206047,757.006718924972,446.5
1101.1850998463901,976.8990015360984,434.0
951.7899478425795,577.6571834992887,351.5
41.336257309941516,477.3362573099415,114.0
96.76210625293841,414.7437705688763,354.5
1197.4563918757467,884.3673835125448,558.0
315.1978584729981,92.91108007448788,358.0
699.9321058688147,211.95205216724204,434.5
400.601674052191,1212.247168882324,338.5
141.89938167509837,924.8589094997191,296.5
1102.8396519577377,676.6258545680547,804.5
1040.9744990892532,683.6211293260474,91.5
1056.8277511961724,372.3062200956938,104.5
233.02497285559176,846.0973579442634,460.5
612.5480392156863,343.82892156862744,340.0
425.51925820256776,136.86352829291488,350.5
1144.7877094972066,340.27932960893855,268.5
42.41139240506329,346.3414205344585,474.0
517.5042999656002,1230.921568627451,484.5
411.12057522123894,1105.601401179941,452.0
541.660923076923,452.82871794871795,812.5
498.84493003641944,706.8276787425723,869.5
374.72715654952077,992.8336528221513,782.5
976.868544600939,170.54929577464787,106.5
449.97141682089244,566.9806703680855,810.5
1036.859560067682,186.09137055837564,98.5
1026.5281827016522,811.7837706511175,343.0
422.8835978835979,972.8866213151928,220.5
100.81155930162552,628.010636162954,830.5
227.80934101087652,1163.6269993602048,781.5
624.7404467960023,650.7522045855379,567.0
1145.408163265306,256.2040816326531,122.5
1062.7399657849717,577.3410975128306,1266.5
1068.9286821705425,294.5531007751938,430.0
196.54742547425474,758.6720867208672,123.0
278.97417271993544,109.91848264729622,206.5
228.91141141141142,699.6336336336336,222.0
211.74939172749393,725.5839416058394,68.5
482.5099261311173,410.7720452446907,1444.0
840.6968290796597,198.62954369682907,862.0
342.1144304682041,364.43675751222924,954.0
445.43279569892474,1102.5,62.0
286.3293293293293,928.0172172172173,832.5
1068.793427230047,464.5868544600939,71.0
1059.8987056837366,912.0435190395798,888.5
1257.8967391304348,454.05253623188406,92.0
219.0,453.33816425120773,69.0
386.81278538812785,788.8127853881278,73.0
620.211454513707,553.3590012222804,954.5
440.398322851153,449.59538784067087,159.0
805.9141004862237,654.2593192868719,308.5
677.7293064876958,95.03057419835943,223.5
878.8991331757288,758.0315208825847,211.5
491.10863509749305,900.7140204271122,179.5
579.6063218390805,1018.0574712643679,58.0
795.9012042558168,48.90097041973576,1425.5
57.4712643678161,667.096551724138,72.5
197.38850574712643,353.1218390804598,72.5
361.579945799458,379.7208672086721,123.0
130.89071038251365,618.8907103825137,61.0
612.4927261227072,615.9749103942653,790.5
782.5786821705426,805.4558139534884,430.0
782.4755555555555,352.3437037037037,112.5
431.10166666666663,496.425,100.0
592.2190812720848,707.0848056537102,141.5
857.0483592400691,319.17530224525046,193.0
627.1231725146199,1013.2441520467836,456.0
140.23397435897436,290.9727564102564,104.0
456.8827838827839,798.7564102564102,91.0
815.1136363636364,191.75252525252523,132.0
468.32852564102564,580.1121794871794,104.0
801.6687116564417,1085.163599182004,81.5
19.586309523809522,601.25,112.0
265.95666666666665,1210.1205555555557,300.0
154.75652173913045,287.8492753623188,57.5
635.6470078057242,1178.2674183289967,576.5
641.911403508772,605.7815789473684,570.0
567.5559038662487,644.1278300243818,478.5
1113.2384942803938,748.2846501729183,1253.0
664.7538940809969,23.59968847352025,107.0
423.0866141732283,1119.1653543307086,63.5
872.3283333333333,745.7483333333333,100.0
19.793248945147678,612.1603375527426,118.5
387.8277571251549,643.6493184634448,134.5
528.764367816092,1218.9913793103449,58.0
793.0780141843971,816.080378250591,70.5
181.52309612983768,607.1223470661672,133.5
618.0663580246915,1248.317901234568,108.0
859.8808193668528,687.68156424581,89.5
805.3743169398907,70.4071038251366,61.0
617.4786324786324,1236.5264957264956,97.5
1245.831746031746,672.4174603174603,105.0
664.7356902356902,12.257575757575758,99.0
1009.7092592592592,680.6074074074074,90.0
577.7666666666667,633.8456140350877,95.0
600.9880952380952,855.4190476190477,70.0
1086.6993006993007,680.1818181818181,71.5
261.2147239263804,604.6114519427404,81.5
609.4013071895425,1092.0653594771243,127.5
416.3643410852713,601.1116279069768,107.5
1010.4444444444443,678.9171374764595,88.5
